iter	Passed	Remaining
0	0	27
1	0	30
2	0	31
3	1	29
4	1	29
5	1	31
6	2	30
7	2	31
8	3	30
9	3	30
10	3	29
11	3	29
12	4	28
13	4	28
14	4	27
15	5	27
16	5	26
17	5	26
18	6	26
19	6	26
20	6	25
21	7	25
22	7	25
23	7	25
24	8	24
25	8	24
26	8	24
27	9	24
28	9	23
29	10	23
30	10	23
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	22
37	13	22
38	13	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	16
51	18	16
52	18	16
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	9
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
